Bacteria	Feature	estimate	se	t	p value	N	FDR
s__Lactobacillus_gasseri	BMI	7,57E-03	1,47E-02	5,16E-01	6,06E-01	5437	8,76E-01
s__Allisonella_histaminiformans	BMI	6,77E-03	1,38E-02	4,89E-01	6,25E-01	5437	8,76E-01
s__Prevotella_colorans	DRUG_ANTIBIOTICS	-1,18E-01	2,29E-01	-5,16E-01	6,06E-01	4828	8,76E-01
s__Lactobacillus_iners	DRUG_ANTIBIOTICS	7,06E-02	1,44E-01	4,89E-01	6,25E-01	4828	8,76E-01
s__Lactobacillus_crispatus	DRUG_ANTIBIOTICS	8,57E-02	1,72E-01	5,00E-01	6,17E-01	4828	8,76E-01
s__Bifidobacterium_dentium	DRUG_ESTROGEN	-1,54E-01	2,94E-01	-5,26E-01	5,99E-01	4825	8,76E-01
s__Lactobacillus_jensenii	DRUG_GLULIP	1,85E-01	3,64E-01	5,07E-01	6,12E-01	4827	8,76E-01
s__Finegoldia_magna	DRUG_GLULIP	-1,55E-01	2,91E-01	-5,32E-01	5,94E-01	4827	8,76E-01
s__Dialister_micraerophilus	DRUG_GLULIP	2,14E-01	4,27E-01	5,01E-01	6,16E-01	4827	8,76E-01
s__Fusobacterium_nucleatum	EDU_CAT2	7,01E-02	1,42E-01	4,93E-01	6,22E-01	2506	8,76E-01
s__Megasphaera_lornae	ETHINIC	1,09E-01	2,23E-01	4,90E-01	6,24E-01	5133	8,76E-01
s__Gardnerella_vaginalis	ETHINIC	-6,73E-02	1,38E-01	-4,88E-01	6,26E-01	5133	8,76E-01
s__Ureaplasma_parvum	EXA_CERBLE	8,24E-02	1,56E-01	5,28E-01	5,98E-01	4782	8,76E-01
g__Shuttleworthia	EXA_CERBLE	5,77E-02	1,17E-01	4,92E-01	6,23E-01	4782	8,76E-01
s__Prevotella_amnii	EXA_VAGWAL	-1,23E-01	2,32E-01	-5,31E-01	5,95E-01	4793	8,76E-01
s__Megasphaera_lornae	EXA_VAGWAL	-1,16E-01	2,28E-01	-5,07E-01	6,12E-01	4793	8,76E-01
s__Prevotella_bivia	GRAVITY1	-8,71E-02	1,65E-01	-5,26E-01	5,99E-01	1854	8,76E-01
s__Bifidobacterium_breve	GRAVITY1	-6,46E-02	1,33E-01	-4,87E-01	6,26E-01	1854	8,76E-01
s__Veillonella_montpellierensis	GRAVITY2	-6,32E-02	1,29E-01	-4,91E-01	6,23E-01	3991	8,76E-01
s__Mageeibacillus_indolicus	INCOME1	6,80E-02	1,40E-01	4,87E-01	6,26E-01	2471	8,76E-01
s__Fusobacterium_nucleatum	INCOME2	-4,16E-02	8,57E-02	-4,86E-01	6,27E-01	2656	8,76E-01
s__Prevotella_timonensis	MENSTRUAL_PHASE_REG1	5,17E-02	1,03E-01	5,03E-01	6,15E-01	3657	8,76E-01
s__Mageeibacillus_indolicus	MENSTRUAL_PHASE_REG1	5,17E-02	1,03E-01	5,01E-01	6,17E-01	3657	8,76E-01
s__Prevotella_colorans	MENSTRUAL_PHASE_REG2	-8,42E-02	1,73E-01	-4,86E-01	6,27E-01	3657	8,76E-01
s__Tissierellia_bacterium	MENSTRUAL_PHASE_REG3	4,63E-02	9,49E-02	4,87E-01	6,26E-01	3657	8,76E-01
s__Megasphaera_hutchinsoni	MENSTRUAL_PHASE_REG3	4,74E-02	9,20E-02	5,15E-01	6,07E-01	3657	8,76E-01
s__Dialister_micraerophilus	MENSTRUAL_REGULAR	7,76E-02	1,51E-01	5,13E-01	6,08E-01	4899	8,76E-01
s__Lactobacillus_jensenii	PARITY1	-5,91E-02	1,22E-01	-4,84E-01	6,28E-01	3122	8,76E-01
s__Streptococcus_anginosus	PARITY2	6,68E-02	1,26E-01	5,30E-01	5,96E-01	2832	8,76E-01
s__Prevotella_timonensis	PARITY2	-8,64E-02	1,63E-01	-5,29E-01	5,97E-01	2832	8,76E-01
s__Megasphaera_lornae	PARITY2	-8,46E-02	1,72E-01	-4,90E-01	6,24E-01	2832	8,76E-01
s__Sneathia_sanguinegens	PS_DIABETES	1,68E-01	3,34E-01	5,04E-01	6,14E-01	5297	8,76E-01
s__Mageeibacillus_indolicus	PS_DIABETES	-1,68E-01	3,19E-01	-5,26E-01	5,99E-01	5297	8,76E-01
s__Ureaplasma_parvum	PS_HYPERTENSION	1,33E-01	2,50E-01	5,33E-01	5,94E-01	5296	8,76E-01
f__Enterobacteriaceae	PS_HYPERTENSION	-8,52E-02	1,72E-01	-4,96E-01	6,20E-01	5296	8,76E-01
s__Lactobacillus_vaginalis	PS_UTI	-7,60E-02	1,56E-01	-4,87E-01	6,26E-01	5217	8,76E-01
s__Veillonella_montpellierensis	SEX_PARTNER_CAT	9,72E-02	1,92E-01	5,06E-01	6,13E-01	5165	8,76E-01
s__Veillonella_montpellierensis	SEX72	-1,17E-01	2,42E-01	-4,84E-01	6,29E-01	4976	8,76E-01
s__Anaerococcus_tetradius	SEX72	1,25E-01	2,54E-01	4,91E-01	6,24E-01	4976	8,76E-01
s__Anaerococcus_tetradius	SMOKING_CAT	9,23E-02	1,87E-01	4,94E-01	6,21E-01	5246	8,76E-01
s__Sneathia_sanguinegens	SYM_ABDPAIN	6,56E-02	1,29E-01	5,08E-01	6,12E-01	5321	8,76E-01
s__Lactobacillus_crispatus	SYM_ABDPAIN	-3,43E-02	6,58E-02	-5,21E-01	6,02E-01	5321	8,76E-01
s__Prevotella_timonensis	SYM_ITCHING	5,34E-02	1,01E-01	5,31E-01	5,96E-01	5347	8,76E-01
s__Prevotella_amnii	SYM_ITCHING	5,21E-02	1,07E-01	4,89E-01	6,25E-01	5347	8,76E-01
s__Megasphaera_lornae	SYM_ITCHING	5,37E-02	1,06E-01	5,05E-01	6,13E-01	5347	8,76E-01
s__Lactobacillus_iners	SYM_ITCHING	-2,40E-02	4,51E-02	-5,33E-01	5,94E-01	5347	8,76E-01
s__Anaerococcus_tetradius	SYM_ITCHING	4,33E-02	8,42E-02	5,14E-01	6,07E-01	5347	8,76E-01
s__Prevotella_timonensis	SYM_PAINBLE	7,53E-02	1,49E-01	5,04E-01	6,14E-01	5305	8,76E-01
s__Sneathia_sanguinegens	SYM_YYD	8,02E-02	1,65E-01	4,85E-01	6,28E-01	5198	8,76E-01
s__Lactobacillus_gasseri	SYM_YYD	8,43E-02	1,62E-01	5,21E-01	6,03E-01	5198	8,76E-01
f__Enterobacteriaceae	ALCOHOL_CAT	-2,92E-02	6,04E-02	-4,83E-01	6,29E-01	5279	8,76E-01
s__Fusobacterium_nucleatum	BIRTH_CONTROL3	-3,47E-02	7,21E-02	-4,82E-01	6,30E-01	3679	8,77E-01
s__Finegoldia_magna	SYM_YYD	5,05E-02	1,05E-01	4,80E-01	6,31E-01	5198	8,77E-01
g__Shuttleworthia	BIRTH_CONTROL1	-6,86E-02	1,45E-01	-4,75E-01	6,35E-01	1275	8,81E-01
s__Prevotella_amnii	SYM_ABDPAIN	-6,24E-02	1,32E-01	-4,75E-01	6,35E-01	5321	8,81E-01
s__Ureaplasma_parvum	EXA_ORDOR	-7,56E-02	1,60E-01	-4,73E-01	6,36E-01	4810	8,81E-01
s__Prevotella_bivia	ADVERSE_PREGNANCY2	7,44E-02	1,61E-01	4,63E-01	6,43E-01	3519	8,82E-01
s__Lactobacillus_vaginalis	BIRTH_CONTROL1	1,00E-01	2,13E-01	4,69E-01	6,39E-01	1275	8,82E-01
s__Gardnerella_vaginalis	BIRTH_CONTROL2	-1,05E-01	2,25E-01	-4,69E-01	6,39E-01	889	8,82E-01
s__Bifidobacterium_dentium	BMI	4,36E-03	9,35E-03	4,67E-01	6,41E-01	5437	8,82E-01
s__Aerococcus_christensenii	DRUG_ESTROGEN	1,92E-01	4,10E-01	4,68E-01	6,40E-01	4825	8,82E-01
s__Prevotella_timonensis	DRUG_GLULIP	-2,06E-01	4,43E-01	-4,66E-01	6,41E-01	4827	8,82E-01
s__Prevotella_bivia	ETHINIC	9,45E-02	2,05E-01	4,62E-01	6,44E-01	5133	8,82E-01
s__Sneathia_sanguinegens	MENSTRUAL_PHASE_REG1	4,96E-02	1,07E-01	4,63E-01	6,43E-01	3657	8,82E-01
s__Dialister_micraerophilus	PARITY2	-7,39E-02	1,59E-01	-4,65E-01	6,42E-01	2832	8,82E-01
s__Lactobacillus_jensenii	SEX72	-1,18E-01	2,51E-01	-4,70E-01	6,39E-01	4976	8,82E-01
s__Tissierellia_bacterium	SYM_ITCHING	4,29E-02	9,24E-02	4,65E-01	6,42E-01	5347	8,82E-01
s__Gardnerella_vaginalis	ADVERSE_PREGNANCY1	-4,23E-02	9,23E-02	-4,58E-01	6,47E-01	3704	8,85E-01
s__Mageeibacillus_indolicus	ADVERSE_PREGNANCY1	6,42E-02	1,40E-01	4,57E-01	6,48E-01	3704	8,85E-01
s__Prevotella_amnii	ADVERSE_PREGNANCY2	-8,17E-02	1,81E-01	-4,52E-01	6,51E-01	3519	8,88E-01
s__Tissierellia_bacterium	MENSTRUAL_REGULAR	-6,49E-02	1,44E-01	-4,52E-01	6,52E-01	4899	8,88E-01
s__Coriobacteriales_bacterium	ADVERSE_PREGNANCY1	-6,24E-02	1,40E-01	-4,46E-01	6,55E-01	3704	8,89E-01
s__Prevotella_colorans	BMI	4,63E-03	1,03E-02	4,49E-01	6,54E-01	5437	8,89E-01
s__Veillonella_montpellierensis	INCOME1	4,94E-02	1,11E-01	4,46E-01	6,56E-01	2471	8,89E-01
s__Prevotella_timonensis	MENSTRUAL_PHASE_REG3	-4,55E-02	1,02E-01	-4,46E-01	6,56E-01	3657	8,89E-01
s__Veillonella_montpellierensis	PARITY2	-6,01E-02	1,34E-01	-4,47E-01	6,55E-01	2832	8,89E-01
s__Lactobacillus_gasseri	SYM_BLEDDING	7,37E-02	1,65E-01	4,46E-01	6,56E-01	5298	8,89E-01
s__Anaerococcus_tetradius	BIRTH_CONTROL2	-1,36E-01	3,08E-01	-4,42E-01	6,58E-01	889	8,90E-01
s__Veillonella_montpellierensis	PS_DIABETES	-1,12E-01	2,54E-01	-4,43E-01	6,58E-01	5297	8,90E-01
s__Allisonella_histaminiformans	SYM_PAINBLE	6,34E-02	1,44E-01	4,40E-01	6,60E-01	5305	8,90E-01
s__Fusobacterium_nucleatum	WAISTLINE	-2,61E-03	5,93E-03	-4,40E-01	6,60E-01	1975	8,90E-01
s__Prevotella_timonensis	DRUG_ESTROGEN	1,96E-01	4,49E-01	4,36E-01	6,63E-01	4825	8,93E-01
s__Allisonella_histaminiformans	MENSTRUAL_PHASE_REG1	4,29E-02	9,86E-02	4,35E-01	6,63E-01	3657	8,93E-01
s__Prevotella_colorans	ADVERSE_PREGNANCY2	5,22E-02	1,20E-01	4,34E-01	6,64E-01	3519	8,93E-01
s__Lactobacillus_crispatus	PS_HYPERTENSION	6,49E-02	1,50E-01	4,32E-01	6,65E-01	5296	8,93E-01
s__Finegoldia_magna	SYM_ITCHING	-2,88E-02	6,65E-02	-4,33E-01	6,65E-01	5347	8,93E-01
s__Tissierellia_bacterium	DRUG_ESTROGEN	1,77E-01	4,11E-01	4,31E-01	6,67E-01	4825	8,94E-01
s__Prevotella_bivia	DRUG_ANTIBIOTICS	1,32E-01	3,12E-01	4,25E-01	6,71E-01	4828	8,95E-01
s__Lactobacillus_vaginalis	MENSTRUAL_PHASE_REG1	-4,60E-02	1,08E-01	-4,25E-01	6,71E-01	3657	8,95E-01
g__Shuttleworthia	MENSTRUAL_PHASE_REG1	2,86E-02	6,70E-02	4,27E-01	6,70E-01	3657	8,95E-01
s__Dialister_micraerophilus	MENSTRUAL_PHASE_REG2	-9,87E-02	2,32E-01	-4,25E-01	6,71E-01	3657	8,95E-01
g__Shuttleworthia	PS_DIABETES	8,93E-02	2,09E-01	4,27E-01	6,70E-01	5297	8,95E-01
s__Aerococcus_christensenii	BIRTH_CONTROL2	-1,38E-01	3,28E-01	-4,22E-01	6,73E-01	889	8,97E-01
s__Ureaplasma_parvum	BIRTH_CONTROL3	-5,07E-02	1,21E-01	-4,21E-01	6,74E-01	3679	8,97E-01
s__Coriobacteriales_bacterium	ALCOHOL_CAT	-4,13E-02	9,88E-02	-4,19E-01	6,76E-01	5279	8,98E-01
s__Megasphaera_lornae	GRAVITY2	7,08E-02	1,70E-01	4,17E-01	6,77E-01	3991	8,99E-01
s__Prevotella_amnii	ADVERSE_PREGNANCY1	6,09E-02	1,49E-01	4,09E-01	6,83E-01	3704	9,03E-01
s__Anaerococcus_tetradius	ADVERSE_PREGNANCY2	5,64E-02	1,40E-01	4,03E-01	6,87E-01	3519	9,03E-01
s__Finegoldia_magna	ETHINIC	-5,64E-02	1,39E-01	-4,05E-01	6,85E-01	5133	9,03E-01
s__Fusobacterium_nucleatum	GRAVITY1	-3,99E-02	9,77E-02	-4,08E-01	6,83E-01	1854	9,03E-01
s__Megasphaera_hutchinsoni	MENSTRUAL_PHASE_REG2	8,88E-02	2,17E-01	4,10E-01	6,82E-01	3657	9,03E-01
s__Lactobacillus_crispatus	PS_DIABETES	6,87E-02	1,70E-01	4,03E-01	6,87E-01	5297	9,03E-01
s__Coriobacteriales_bacterium	PS_UTI	6,05E-02	1,49E-01	4,06E-01	6,85E-01	5217	9,03E-01
s__Bifidobacterium_breve	SEX_PARTNER_CAT	7,83E-02	1,93E-01	4,06E-01	6,85E-01	5165	9,03E-01
s__Megasphaera_hutchinsoni	SEX72	-1,12E-01	2,77E-01	-4,04E-01	6,86E-01	4976	9,03E-01
f__Enterobacteriaceae	SYM_ABDPAIN	-3,04E-02	7,58E-02	-4,02E-01	6,88E-01	5321	9,03E-01
s__Lactobacillus_iners	SYM_BLEDDING	-2,97E-02	7,25E-02	-4,09E-01	6,82E-01	5298	9,03E-01
s__Bifidobacterium_breve	SYM_URIOSP	-3,85E-02	9,58E-02	-4,02E-01	6,88E-01	5300	9,03E-01
s__Allisonella_histaminiformans	MENSTRUAL_REGULAR	-5,99E-02	1,50E-01	-3,99E-01	6,90E-01	4899	9,04E-01
s__Prevotella_colorans	PS_UTI	-4,25E-02	1,07E-01	-3,98E-01	6,90E-01	5217	9,04E-01
s__Dialister_micraerophilus	ADVERSE_PREGNANCY2	-6,43E-02	1,63E-01	-3,94E-01	6,93E-01	3519	9,05E-01
s__Tissierellia_bacterium	DRUG_GLULIP	1,60E-01	4,05E-01	3,94E-01	6,93E-01	4827	9,05E-01
s__Sneathia_amnii	GRAVITY1	-6,87E-02	1,74E-01	-3,96E-01	6,92E-01	1854	9,05E-01
s__Veillonella_montpellierensis	GRAVITY1	-5,07E-02	1,29E-01	-3,93E-01	6,95E-01	1854	9,06E-01
s__Fusobacterium_nucleatum	PARITY1	-3,31E-02	8,45E-02	-3,92E-01	6,95E-01	3122	9,06E-01
s__Mageeibacillus_indolicus	PS_UTI	5,79E-02	1,48E-01	3,90E-01	6,96E-01	5217	9,07E-01
s__Sneathia_sanguinegens	EXA_VAGWAL	-8,77E-02	2,26E-01	-3,88E-01	6,98E-01	4793	9,07E-01
s__Lactobacillus_iners	SYM_YYD	-2,76E-02	7,09E-02	-3,89E-01	6,98E-01	5198	9,07E-01
s__Megasphaera_lornae	BIRTH_CONTROL2	-1,48E-01	3,84E-01	-3,86E-01	7,00E-01	889	9,08E-01
s__Megasphaera_hutchinsoni	INCOME1	-4,75E-02	1,24E-01	-3,83E-01	7,02E-01	2471	9,08E-01
s__Megasphaera_hutchinsoni	SYM_ABDPAIN	4,35E-02	1,13E-01	3,84E-01	7,01E-01	5321	9,08E-01
s__Megasphaera_lornae	SYM_URIOSP	4,92E-02	1,28E-01	3,85E-01	7,00E-01	5300	9,08E-01
s__Anaerococcus_tetradius	DRUG_ESTROGEN	-1,41E-01	3,70E-01	-3,82E-01	7,02E-01	4825	9,08E-01
s__Streptococcus_anginosus	EXA_VAGWAL	6,27E-02	1,65E-01	3,79E-01	7,05E-01	4793	9,10E-01
s__Tissierellia_bacterium	ALCOHOL_CAT	-3,40E-02	9,04E-02	-3,77E-01	7,06E-01	5279	9,11E-01
s__Ureaplasma_parvum	DRUG_GLULIP	-1,46E-01	3,89E-01	-3,75E-01	7,07E-01	4827	9,11E-01
s__Lactobacillus_jensenii	GRAVITY2	-4,89E-02	1,31E-01	-3,74E-01	7,08E-01	3991	9,11E-01
s__Anaerococcus_tetradius	PS_UTI	4,65E-02	1,24E-01	3,74E-01	7,09E-01	5217	9,11E-01
s__Lactobacillus_iners	WAISTLINE	-1,56E-03	4,14E-03	-3,76E-01	7,07E-01	1975	9,11E-01
s__Lactobacillus_jensenii	GRAVITY1	-5,08E-02	1,36E-01	-3,72E-01	7,10E-01	1854	9,11E-01
s__Bifidobacterium_dentium	BIRTH_CONTROL2	-7,95E-02	2,14E-01	-3,71E-01	7,11E-01	889	9,12E-01
s__Veillonella_montpellierensis	ADVERSE_PREGNANCY1	-3,84E-02	1,09E-01	-3,51E-01	7,26E-01	3704	9,12E-01
s__Prevotella_timonensis	ADVERSE_PREGNANCY1	5,09E-02	1,42E-01	3,59E-01	7,20E-01	3704	9,12E-01
s__Megasphaera_lornae	ADVERSE_PREGNANCY2	6,30E-02	1,80E-01	3,51E-01	7,26E-01	3519	9,12E-01
s__Lactobacillus_jensenii	ALCOHOL_CAT	2,88E-02	8,09E-02	3,55E-01	7,22E-01	5279	9,12E-01
s__Aerococcus_christensenii	ALCOHOL_CAT	-3,20E-02	9,07E-02	-3,53E-01	7,24E-01	5279	9,12E-01
s__Sneathia_amnii	DRUG_ESTROGEN	-1,66E-01	4,61E-01	-3,60E-01	7,19E-01	4825	9,12E-01
s__Coriobacteriales_bacterium	EXA_VAGWAL	-7,70E-02	2,18E-01	-3,53E-01	7,24E-01	4793	9,12E-01
s__Tissierellia_bacterium	GRAVITY1	5,56E-02	1,54E-01	3,60E-01	7,19E-01	1854	9,12E-01
s__Dialister_micraerophilus	GRAVITY1	-5,87E-02	1,64E-01	-3,59E-01	7,20E-01	1854	9,12E-01
s__Tissierellia_bacterium	MENSTRUAL_PHASE_REG1	-3,37E-02	9,55E-02	-3,53E-01	7,24E-01	3657	9,12E-01
s__Anaerococcus_tetradius	MENSTRUAL_PHASE_REG3	-3,12E-02	8,65E-02	-3,61E-01	7,18E-01	3657	9,12E-01
g__Shuttleworthia	MENSTRUAL_PHASE_REG3	-2,37E-02	6,66E-02	-3,55E-01	7,22E-01	3657	9,12E-01
g__Shuttleworthia	MENSTRUAL_REGULAR	3,59E-02	1,02E-01	3,52E-01	7,25E-01	4899	9,12E-01
s__Megasphaera_hutchinsoni	PARITY1	4,80E-02	1,35E-01	3,55E-01	7,23E-01	3122	9,12E-01
s__Gardnerella_vaginalis	PARITY1	3,45E-02	9,60E-02	3,60E-01	7,19E-01	3122	9,12E-01
s__Ureaplasma_parvum	PS_DIABETES	-1,04E-01	2,84E-01	-3,66E-01	7,14E-01	5297	9,12E-01
s__Finegoldia_magna	SEX_PARTNER_CAT	5,77E-02	1,60E-01	3,60E-01	7,19E-01	5165	9,12E-01
s__Bifidobacterium_breve	SYM_ABDPAIN	3,58E-02	9,85E-02	3,63E-01	7,17E-01	5321	9,12E-01
g__Shuttleworthia	SYM_BLEDDING	-3,86E-02	1,08E-01	-3,59E-01	7,19E-01	5298	9,12E-01
s__Lactobacillus_gasseri	SYM_PAINBLE	-5,57E-02	1,53E-01	-3,65E-01	7,15E-01	5305	9,12E-01
s__Lactobacillus_crispatus	WAISTLINE	-1,77E-03	4,93E-03	-3,58E-01	7,20E-01	1975	9,12E-01
s__Sneathia_amnii	EXA_VAGWAL	7,74E-02	2,24E-01	3,46E-01	7,29E-01	4793	9,15E-01
s__Mageeibacillus_indolicus	MENSTRUAL_REGULAR	-5,42E-02	1,56E-01	-3,47E-01	7,29E-01	4899	9,15E-01
s__Coriobacteriales_bacterium	PARITY2	-5,66E-02	1,64E-01	-3,44E-01	7,31E-01	2832	9,16E-01
s__Prevotella_colorans	ALCOHOL_CAT	-2,44E-02	7,10E-02	-3,43E-01	7,32E-01	5279	9,16E-01
s__Dialister_micraerophilus	EXA_CERECT	4,61E-02	1,35E-01	3,41E-01	7,33E-01	3625	9,17E-01
f__Enterobacteriaceae	PS_UTI	3,07E-02	9,03E-02	3,40E-01	7,34E-01	5217	9,17E-01
s__Lactobacillus_crispatus	ADVERSE_PREGNANCY1	-2,51E-02	7,54E-02	-3,32E-01	7,40E-01	3704	9,18E-01
s__Fusobacterium_nucleatum	AGE	1,15E-03	3,45E-03	3,33E-01	7,39E-01	5437	9,18E-01
s__Sneathia_sanguinegens	DRUG_GLULIP	-1,55E-01	4,62E-01	-3,36E-01	7,37E-01	4827	9,18E-01
s__Mageeibacillus_indolicus	DRUG_GLULIP	-1,46E-01	4,41E-01	-3,31E-01	7,41E-01	4827	9,18E-01
s__Bifidobacterium_breve	EXA_CERDIS	-4,40E-02	1,34E-01	-3,27E-01	7,43E-01	4864	9,18E-01
s__Bifidobacterium_dentium	EXA_VAGWAL	4,38E-02	1,33E-01	3,30E-01	7,42E-01	4793	9,18E-01
s__Sneathia_sanguinegens	MENSTRUAL_PHASE_REG2	-8,24E-02	2,51E-01	-3,28E-01	7,43E-01	3657	9,18E-01
s__Prevotella_amnii	MENSTRUAL_PHASE_REG2	8,59E-02	2,58E-01	3,33E-01	7,39E-01	3657	9,18E-01
s__Prevotella_bivia	MENSTRUAL_PHASE_REG3	-3,29E-02	9,89E-02	-3,32E-01	7,40E-01	3657	9,18E-01
s__Aerococcus_christensenii	PS_UTI	4,61E-02	1,37E-01	3,36E-01	7,37E-01	5217	9,18E-01
s__Sneathia_amnii	SYM_ABDPAIN	-4,18E-02	1,27E-01	-3,30E-01	7,42E-01	5321	9,18E-01
s__Megasphaera_lornae	SYM_BLEDDING	-5,61E-02	1,71E-01	-3,27E-01	7,43E-01	5298	9,18E-01
s__Allisonella_histaminiformans	ALCOHOL_CAT	3,09E-02	9,49E-02	3,26E-01	7,44E-01	5279	9,19E-01
s__Tissierellia_bacterium	BIRTH_CONTROL1	-6,23E-02	1,95E-01	-3,19E-01	7,50E-01	1275	9,19E-01
s__Sneathia_sanguinegens	BIRTH_CONTROL2	1,21E-01	3,80E-01	3,17E-01	7,51E-01	889	9,19E-01
s__Coriobacteriales_bacterium	EXA_CERDIS	-5,61E-02	1,74E-01	-3,22E-01	7,48E-01	4864	9,19E-01
s__Prevotella_timonensis	EXA_CERECT	4,42E-02	1,39E-01	3,18E-01	7,50E-01	3625	9,19E-01
s__Bifidobacterium_breve	EXA_ORDOR	4,40E-02	1,39E-01	3,16E-01	7,52E-01	4810	9,19E-01
s__Dialister_micraerophilus	INCOME2	-4,60E-02	1,44E-01	-3,20E-01	7,49E-01	2656	9,19E-01
s__Tissierellia_bacterium	MENSTRUAL_PHASE_REG2	-7,19E-02	2,24E-01	-3,22E-01	7,48E-01	3657	9,19E-01
s__Sneathia_sanguinegens	MENSTRUAL_PHASE_REG3	-3,42E-02	1,07E-01	-3,21E-01	7,48E-01	3657	9,19E-01
s__Megasphaera_lornae	PARITY1	-5,03E-02	1,57E-01	-3,20E-01	7,49E-01	3122	9,19E-01
s__Megasphaera_hutchinsoni	PS_HYPERTENSION	-8,37E-02	2,58E-01	-3,24E-01	7,46E-01	5296	9,19E-01
s__Veillonella_montpellierensis	SYM_URIOSP	-3,02E-02	9,57E-02	-3,16E-01	7,52E-01	5300	9,19E-01
s__Megasphaera_lornae	INCOME2	-4,86E-02	1,56E-01	-3,11E-01	7,56E-01	2656	9,22E-01
s__Lactobacillus_gasseri	MENSTRUAL_PHASE_REG1	3,26E-02	1,05E-01	3,10E-01	7,56E-01	3657	9,22E-01
s__Lactobacillus_jensenii	ADVERSE_PREGNANCY1	3,35E-02	1,14E-01	2,94E-01	7,69E-01	3704	9,22E-01
s__Lactobacillus_jensenii	ADVERSE_PREGNANCY2	3,91E-02	1,36E-01	2,88E-01	7,73E-01	3519	9,22E-01
s__Aerococcus_christensenii	AGE	1,71E-03	5,62E-03	3,04E-01	7,61E-01	5437	9,22E-01
s__Prevotella_amnii	ALCOHOL_CAT	3,18E-02	1,05E-01	3,04E-01	7,61E-01	5279	9,22E-01
s__Lactobacillus_iners	ALCOHOL_CAT	1,28E-02	4,42E-02	2,90E-01	7,72E-01	5279	9,22E-01
s__Lactobacillus_jensenii	DRUG_ANTIBIOTICS	8,12E-02	2,67E-01	3,04E-01	7,61E-01	4828	9,22E-01
s__Gardnerella_vaginalis	DRUG_ANTIBIOTICS	-5,99E-02	2,10E-01	-2,86E-01	7,75E-01	4828	9,22E-01
s__Megasphaera_lornae	DRUG_ESTROGEN	1,35E-01	4,74E-01	2,85E-01	7,76E-01	4825	9,22E-01
s__Megasphaera_hutchinsoni	DRUG_ESTROGEN	-1,19E-01	4,11E-01	-2,89E-01	7,72E-01	4825	9,22E-01
s__Coriobacteriales_bacterium	DRUG_GLULIP	1,27E-01	4,41E-01	2,88E-01	7,73E-01	4827	9,22E-01
s__Lactobacillus_iners	ETHINIC	2,73E-02	9,55E-02	2,86E-01	7,75E-01	5133	9,22E-01
s__Prevotella_timonensis	EXA_CERDIS	-5,25E-02	1,74E-01	-3,02E-01	7,63E-01	4864	9,22E-01
s__Mageeibacillus_indolicus	EXA_CERDIS	-5,12E-02	1,74E-01	-2,94E-01	7,69E-01	4864	9,22E-01
s__Gardnerella_vaginalis	GRAVITY2	3,11E-02	1,04E-01	3,00E-01	7,64E-01	3991	9,22E-01
s__Coriobacteriales_bacterium	GRAVITY2	4,86E-02	1,62E-01	3,00E-01	7,64E-01	3991	9,22E-01
s__Streptococcus_anginosus	INCOME1	-3,29E-02	1,09E-01	-3,02E-01	7,63E-01	2471	9,22E-01
s__Sneathia_amnii	INCOME1	4,09E-02	1,43E-01	2,85E-01	7,76E-01	2471	9,22E-01
s__Aerococcus_christensenii	MENSTRUAL_PHASE_REG3	-2,70E-02	9,38E-02	-2,88E-01	7,73E-01	3657	9,22E-01
s__Ureaplasma_parvum	MENSTRUAL_REGULAR	4,12E-02	1,39E-01	2,95E-01	7,68E-01	4899	9,22E-01
s__Atopobium_vaginae	MENSTRUAL_REGULAR	3,16E-02	1,10E-01	2,88E-01	7,74E-01	4899	9,22E-01
s__Prevotella_bivia	PARITY1	-4,35E-02	1,43E-01	-3,04E-01	7,61E-01	3122	9,22E-01
s__Megasphaera_hutchinsoni	PARITY2	-4,40E-02	1,53E-01	-2,88E-01	7,74E-01	2832	9,22E-01
s__Lactobacillus_vaginalis	PS_DIABETES	-9,93E-02	3,36E-01	-2,95E-01	7,68E-01	5297	9,22E-01
s__Atopobium_vaginae	PS_UTI	3,17E-02	1,03E-01	3,07E-01	7,59E-01	5217	9,22E-01
s__Lactobacillus_gasseri	SEX_PARTNER_CAT	7,46E-02	2,49E-01	2,99E-01	7,65E-01	5165	9,22E-01
s__Prevotella_colorans	SMOKING_CAT	4,95E-02	1,61E-01	3,08E-01	7,58E-01	5246	9,22E-01
s__Lactobacillus_iners	SYM_URIOSP	1,56E-02	5,41E-02	2,89E-01	7,73E-01	5300	9,22E-01
s__Dialister_micraerophilus	SYM_URIOSP	3,33E-02	1,17E-01	2,84E-01	7,76E-01	5300	9,22E-01
s__Bifidobacterium_dentium	ALCOHOL_CAT	1,73E-02	6,38E-02	2,71E-01	7,86E-01	5279	9,23E-01
g__Shuttleworthia	BIRTH_CONTROL2	7,22E-02	2,59E-01	2,79E-01	7,80E-01	889	9,23E-01
s__Prevotella_colorans	EDU_CAT2	4,56E-02	1,64E-01	2,79E-01	7,80E-01	2506	9,23E-01
s__Finegoldia_magna	EXA_VAGWAL	-3,85E-02	1,42E-01	-2,71E-01	7,87E-01	4793	9,23E-01
s__Ureaplasma_parvum	INCOME2	3,64E-02	1,30E-01	2,81E-01	7,79E-01	2656	9,23E-01
